id,name,phone,religion,cast,district,feedback,gender,age,status,remarks,followup,telecall,flag
2,abna,5555555555,islam,mapila,kozhikode,aaaa,female,22,5.0,1245,2022-02-01,1,1
3,aswathy,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
4,anagha,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
5,anju,5555555555,islam,mapila,kozhikode,ddddddddddd,female,22,1.0,bbh,,3,1
6,ammu,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
7,ardhra,5555555555,islam,mapila,kozhikode,aaaa,female,22,1.0,that,,1,1
8,ayana,5555555555,islam,mapila,kozhikode,aaaa,female,22,5.0,akii,,1,1
9,ameya,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,2,1
10,abna,5555555555,islam,mapila,kozhikode,aaaa,female,22,5.0,abna,,1,1
11,aswathy,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
12,anagha,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
13,anju,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
14,ammu,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
15,ardhra,5555555555,islam,mapila,kozhikode,aaaa,female,22,1.0,yes,,1,1
16,ayana,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
17,ameya,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
18,abna,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
19,aswathy,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
20,anagha,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
21,anju,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
22,ammu,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
23,ardhra,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
24,ayana,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
25,ameya,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
26,abna,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
27,aswathy,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
28,anagha,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
29,anju,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
30,ammu,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
31,ardhra,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
32,ayana,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
33,ameya,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
34,abna,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
35,aswathy,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
36,anagha,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
37,anju,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
38,ammu,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
39,ardhra,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
40,ayana,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
41,ameya,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
42,abna,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
43,aswathy,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
44,anagha,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
45,anju,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
46,ammu,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
47,ardhra,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
48,ayana,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
49,ameya,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
50,abna,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
51,aswathy,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
52,anagha,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
53,anju,5555555555,islam,mapila,kozhikode,khgk,female,22,1.0,this,,3,1
54,ammu,5555555555,islam,mapila,kozhikode,khgk,female,22,1.0,vbb,,3,1
55,ardhra,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
56,ayana,5555555555,islam,mapila,kozhikode,khgk,female,22,1.0,hdhs,,1,1
57,ameya,5555555555,islam,mapila,kozhikode,aaaa,female,22,5.0,for testing follow,,1,1
58,abna,5555555555,islam,mapila,kozhikode,aaaa,female,22,5.0,for test,,1,1
59,aswathy,5555555555,islam,mapila,kozhikode,aaaa,female,22,5.0,aaaaaa,,3,1
60,anagha,5555555555,islam,mapila,kozhikode,aaaa,female,22,1.0,ggggggg,,3,1
61,anju,5555555555,islam,mapila,kozhikode,aaaa,female,22,5.0,hhhbn,,3,1
62,ammu,5555555555,islam,mapila,kozhikode,aaaa,female,22,4.0,nnnn,,3,1
63,ardhra,5555555555,islam,mapila,kozhikode,you,female,22,2.0,qee,,1,1
64,ayana,5555555555,islam,mapila,kozhikode,aaaa,female,22,1.0,sjajaj,,1,1
65,ameya,5555555555,islam,mapila,kozhikode,aaaa,female,22,5.0,jjjjn,,1,1
