id,name,phone,religion,cast,district,feedback,gender,age,status,remarks,followup,telecall,flag
,Rahul Dev,5555555555,islam,mapila,kozhikode,aaaa,female,22,1,dddddddddd,2022-02-01,1,0
,Gireesh ,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,Jathvedan,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,Ashraf,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,Mr.HARIKUMAR ,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,PPD ,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr.Vivek Gopan,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr.Suraj ,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr.Subramaniyan ,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,Mr.Raghu /Devi Mohan,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,CO Dindu Sir,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,MrJose K Varkey,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,MrRajasekharan Nair,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr.Ashish George ,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr.Ashish George ,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr. Santosh Kumar,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,MrAvinash Kumar,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,Mr.Unnikrishnan,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,Mrs.Rachel,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,Mr.Rahangan,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mrs.Suchetha ,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr.Dinesh,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr. Arun VS,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,Mr.Aravind ,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,Mr.Asok Nair,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,Mr.Binu,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,Mr.Arun V.S,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr.Aravind ,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr.Ashok Nair,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mrs. Chithra Radhakrishan,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,Mrs.Sindu,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,Dr Ram shekhar,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,"Mr Dileesh Pothen,c/o Arct Unnimaya",5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,Mr Prasanth,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr.Philip,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,MrSreedaran Pillai,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr. Philip,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,Mr. Sreedharan Pillai,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,Mr. Mathew,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,Mr. Edwin Frank,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,Mr. Ravisankar,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mrs. Lovely Babu,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr. John Jacob,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,1,1
,Mr. James P Thomas,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,1
,Mr. Epen Joseph,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
,Mr. KunjuKunjamma Ooman,5555555555,islam,mapila,kozhikode,aaaa,female,22,,,,3,0
